ID,COD,Nome
10342,000000000249947,"Gin Jensen'S London Dry 43° Cl.70"
10343,000000000249948,"Gin Jensen'S Old Tom 43° Cl.70"
10344,000000000249430,"Gin Bickens Grapefruit 40° Cl.70"
10345,000000000250246,"Gin Villa Ascenti Cl.70 41°"
10346,000000000247651,"Gin Malfy Dry Cl.70"
10347,000000000247799,"Gin Collesi 42,8° Cl.70"
10348,000000000245765,"Gin Alkemist 40° Cl.70"
10349,000000000243473,"Gin Haswell London Dry 47° Cl.70"
10350,000000000243038,"Confezione Gin Brockmans 40° Cl.70 + Bicchiere (Francoli)"
10351,000000000244721,"Bas Armagnac Le Legendaire Chateau Du Tariquet 42° Cl.70"
10352,1312,"Cognac Courvoisier  V.S. Cl. 70"
10356,6418,"Vermut Carpano Lt.1"
10361,2692,"Stock 84 Brandy Lt.1"
10362,2125,"Vermouth Bianco Cinzano Lt.1"
10363,000000000243475,"Fee Brothers 1864 Orange Bitters 150 Ml."
10373,000000000239944,"Vino Falerio Doc 2017 Cl.75 13° Cherri"
10374,000000000234582,"Vino Riserva Trebbiano D'Abr.Marina Cvetic 2018 Doc Cl.75 14° Masciarelli"
10375,000000000233831,"Vino Falerio Doc Cl.75 13° Saladini Pilastri"
10377,000000000242332,"Vino Falerio Doc Terre Cortesi 2016 Cl.75 12.5°  Moncaro"
10378,000000000242495,"Vino Passerina Igt ( Selez.) Villa Angela Cl.75 12.5° Velenosi"
10379,000000000242496,"Vino Falerio Pecorino Doc  Villa Angela Cl.75 Velenosi"
10380,000000000248282,"Vino Grechetto Doc 2019 Clara Vinea Cl.75 13,5° Napolini"
10381,000000000248576,"Vino Verdicchio Matelica Riserva Cambrugiano 2016 Cl.75  13° Belisario"
10382,000000000248410,"Vino Sauvignon Cl.75 Livio Felluga"
10383,000000000248411,"Vino Pinot Grigio Cl.75 Livio Felluga"
10385,000000000248413,"Vino Ribolla Gialla Cl.75 Livio Felluga S.R.L."
10386,000000000248414,"Vino Sharis Bianco Cl.75 Livio Felluga"
10387,000000000247771,"Vino Spiavento Bombino Igp Puglia 13° Cl.75 Coppadoro"
10388,000000000247772,"Vino Spiavento Chardonnay Igp Puglia 13° Cl.75 Coppadoro"
10389,000000000245266,"Vino Sauvignon Animale Celeste 2016 12° Cl.75 S.Barbara"
10390,000000000245267,"Vino Verdicchio 2017 Tardivo Ma Non Tardo 14° Cl.75 S.Barbara"
10391,000000000245513,"Vino Bianco Cl.75 Cantine Ronco"
