sku;stock_quantity;.
1652;12;
1651;12;
1650;10;
1649;11;
1648;12;
1647;12;
1646;12;
1645;12;
1644;12;
1641;39;
1640;41;
1568;5;
1567;9;
1566;11;
1561;20;
1560;12;
1559;5;
1558;12;
1557;9;
1555;22;
1554;18;
1530;0;
1529;0;
1508;0;
1464;0;
1463;0;
1462;1;
1461;0;
1460;2;
1459;0;
1457;0;
1456;1;
1455;2;
1454;2;
1453;1;
1452;2;
1395;2;
1394;5;
1393;0;
1392;0;
1391;0;
1390;3;
1345;56;
1344;4;
1343;7;
1342;18;
1337;8;
1336;19;
1335;29;
1334;29;
1333;27;
1292;2;
1291;1;
1245;8;
1244;1;
1243;1;
1242;0;
1241;0;
1218;1;
1217;2;
1211;0;
1194;31;
1178;6;
1177;4;
1176;2;
1175;13;
1174;2;
1173;17;
1172;0;
1171;5;
1162;35;
1161;3;
1160;1;
1159;0;
1158;18;
1156;1;
1155;8;
1149;0;
1147;1;
1124;0;
1123;0;
1120;3;
1119;3;
1118;0;
1112;2;
1111;3;
1110;0;
1109;1;
1108;0;
1107;4;
1106;2;
1105;1;
1104;25;
1103;39;
1102;39;
1101;2;
1100;2;
1099;6;
1098;1;
1097;15;
1096;149;
1095;41;
1076;0;
1075;0;
1073;13;
1072;17;
1071;2;
1066;0;
1062;0;
1050;1;
1049;25;
1048;12;
1047;17;
1046;15;
1045;3;
1044;11;
1043;24;
1040;27;
1039;70;
1038;35;
1037;28;
1036;83;
1035;1;
1034;137;
1032;7;
1030;23;
1014;0;
1013;40;
1012;62;
1011;149;
1010;46;
1009;19;
1008;0;
1007;66;
1006;48;
1005;30;
945;0;
888;0;
887;2;
886;0;
484;32;
483;0;
482;31;
481;38;
480;3;
479;15;
477;119;
476;4;
475;0;
474;82;
473;51;
472;2;
448;4;
446;3;
432;19;
431;1;
430;12;
429;12;
427;0;
426;0;
425;3;
424;0;
421;3;
352;33;
351;4;
188;2;
161;1;
