sku;url_image;name;category;regular_price;stock_quantity;status;
1652;https://maracana.info/1318/cap-new-era-port-city-roasters.jpg;CAP NEW ERA PORT CITY ROASTERS;CAPPELLI;29;12;draft;.
1651;https://maracana.info/1319/cap-new-era-fresno-grizzlies.jpg;CAP NEW ERA FRESNO GRIZZLIES;CAPPELLI;29;12;draft;.
1650;https://maracana.info/1320/cap-new-era-hartford-yard.jpg;CAP NEW ERA HARTFORD YARD;CAPPELLI;29;10;draft;.
1649;https://maracana.info/1315/cap-new-era-delmarva-shore-birds.jpg;CAP NEW ERA DELMARVA SHORE BIRDS;CAPPELLI;29;11;draft;.
1648;https://maracana.info/1314/cap-new-era-wisrat-minor-league.jpg;CAP NEW ERA WISRAT MINOR LEAGUE;CAPPELLI;29;12;draft;.
1647;https://maracana.info/1313/cap-new-era-charleston-alley-cats.jpg;CAP NEW ERA CHARLESTON ALLEY CATS;CAPPELLI;25;12;draft;.
1646;https://maracana.info/1312/cap-new-era-flamingo-miami.jpg;CAP NEW ERA FLAMINGO MIAMI;CAPPELLI;25;12;draft;.
1645;https://maracana.info/1311/cap-new-era-stars-minor-league.jpg;CAP NEW ERA STARS MINOR LEAGUE;CAPPELLI;25;12;draft;.
1644;https://maracana.info/1310/cap-new-era-safsea.jpg;CAP  NEW ERA SAFSEA;CAPPELLI;25;12;draft;.
1641;https://maracana.info/1306/tshirt-new-era-lakers-colour-blocksleeve.jpg;TSHIRT NEW ERA LAKERS COLOUR BLOCKSLEEVE;TSHIRT;39;39;draft;.
1640;https://maracana.info/1305/tshirt-new-era-bulls-colour-block-sleeve.jpg;TSHIRT NEW ERA BULLS COLOUR BLOCK SLEEVE;TSHIRT;39;41;draft;.
1568;https://maracana.info/1105/cap-new-era-duffy.jpg;CAP NEW ERA DUFFY;CAPPELLI;25;5;draft;.
1567;https://maracana.info/1103/cap-new-era-bugs-bunny.jpg;CAP NEW ERA BUGS BUNNY;CAPPELLI;25;9;draft;.
